Language_ID,Feature_ID,IPA,Value,BORROWED
Kumzari,bite,xaʔadiʔ,60,?
Modern_Persian,bite,dandan,62,?
Ossetic_Iron,bite,xætsɨn,59,?
Parachi,bite,gas,59,?
Shughni,bite,pirend,66,?
Taleshi,bite,vijarde,67,?
Wakhi,bite,denduk,62,?
Waziri,bite,ʔiʔel,64,?
Yaghnobi,bite,kan,59,?
Zazaki,bite,perajiʃ,68,?
SEK,bite,lɛq,65,?
SK,bite,gɛz,59,?
NK,bite,kɨt,63,?
SWK,bite,gæz,59,?
NWK,bite,gæz,59,?
Pashto,bite,ʧiʧel,64,?
Bakhtiyari,bitter,tahl,70,?
Balochi,bitter,taxl,70,?
Gilaki,bitter,təlx,70,?
Judeo-Tati,bitter,texl,70,?
Kumzari,bitter,tahl,70,?
Modern_Persian,bitter,talɣ,70,?
Ormuri,bitter,teʃ,71,?
Ossetic_Iron,bitter,mast,72,?
Parachi,bitter,tɨzi,71,?
Shughni,bitter,tsax,71,?
Taleshi,bitter,təlx,70,?
Wakhi,bitter,talx,70,?
Yaghnobi,bitter,talx,70,?
Zazaki,bitter,taʕl,70,?
SEK,bitter,tiʒ,71,?
SK,bitter,tuʒ,71,?
NK,bitter,tuʒ,71,?
SWK,bitter,tuʒ,71,?
NWK,bitter,tuʒ,71,?
Ishkashimi,bitter,truʃ,71,?
Pashto,bitter,zvəg,73,?
Bakhtiyari,black,ʃah,75,?
Balochi,black,sijah,75,?
Gilaki,black,sija,75,?
Judeo-Tati,black,sijeh,75,?
Kumzari,black,sijeh,75,?
Modern_Persian,black,siah,75,?
Ormuri,black,ɣras,74,?
Ossetic_Iron,black,sau,75,?
Parachi,black,paddo,79,?
Shughni,black,tor,80,?
Taleshi,black,sio,75,?
Wakhi,black,su,75,?
Waziri,black,tor,80,?
Yaghnobi,black,ʃow,75,?
Zazaki,black,sij,75,?
SEK,black,ɹɛʃ,74,?
SK,black,ɹɛʃ,74,?
NK,black,ɹɛʃ,74,?
SWK,black,ɹɛʃ,74,?
NWK,black,ɹæʃ,74,?
Ishkashimi,black,ʃu,75,?
Pashto,black,sijah,75,?
Bakhtiyari,blood,hin,83,?
Balochi,blood,hon,83,?
Gilaki,blood,xun,83,?
Judeo-Tati,blood,xuni,83,?
Kumzari,blood,xuwajm,83,?
Modern_Persian,blood,xun,83,?
Ormuri,blood,in,83,?
Ossetic_Iron,blood,tug,85,?
Parachi,blood,hin,83,?
Shughni,blood,wixin,83,?
Taleshi,blood,xun,83,?
Wakhi,blood,xun,83,?
Waziri,blood,wina,83,?
Yaghnobi,blood,waxin,83,?
Zazaki,blood,guni,83,?
SEK,blood,xin,83,?
SK,blood,xwin,83,?
NK,blood,xun,83,?
SWK,blood,xun,83,?
NWK,blood,xyn,83,?
Ishkashimi,blood,wen,83,?
Pashto,blood,vina,83,?
Bakhtiyari,blow,bad,87,?
Balochi,blow,kaʔagʔ,88,?
Gilaki,blow,dəməstən,89,?
Judeo-Tati,blow,nefes,91,1
Kumzari,blow,uff,90,?
Modern_Persian,blow,vazidan,93,?
Ossetic_Iron,blow,dɨmɨn,89,?
Parachi,blow,pxi,90,?
Shughni,blow,puf,90,?
Taleshi,blow,vaʃte,96,?
Wakhi,blow,kulumut,97,?
Waziri,blow,ʧaledel,98,?
Yaghnobi,blow,puf,90,?
SEK,blow,pɨf,90,?
SK,blow,pɛqandɨn,95,?
NK,blow,pɨf,90,?
SWK,blow,pɨfe,90,?
NWK,blow,puf,90,?
Ishkashimi,blow,puf,90,?
Pashto,blow,pukavəl,94,?
Bakhtiyari,bone,hast,99,?
Balochi,bone,had,100,?
Gilaki,bone,xaʃ,105,?
Judeo-Tati,bone,osdqu,99,?
Kumzari,bone,xar,101,?
Modern_Persian,bone,ostoxan,99,?
Ormuri,bone,stoʔan,99,?
Ossetic_Iron,bone,stæg,99,?
Parachi,bone,hadd,100,1
Shughni,bone,sitxun,99,?
Taleshi,bone,asə,99,?
Wakhi,bone,jusc,99,?
Waziri,bone,hadikai,100,?
Yaghnobi,bone,sitak,99,?
Zazaki,bone,este,99,?
SEK,bone,hestɨk,99,?
SK,bone,hæstu,99,?
NK,bone,hɛsti,99,?
SWK,bone,hɛstɨ,99,?
NWK,bone,hasti,99,?
Ishkashimi,bone,wastuk,99,?
Pashto,bone,had,100,?
Bakhtiyari,breast,pestoʋn,106,?
Balochi,breast,delband,107,?
Gilaki,breast,sinʔ,108,?
Judeo-Tati,breast,sine,108,?
Kumzari,breast,sino,108,?
Modern_Persian,breast,pistan,106,?
Ormuri,breast,tsik,111,?
