DOCULECT;CONCEPT;IPA;VARIANTS
Bakhtiyari;horn;ʔax;
Balochi;horn;kanʈ;
Gilaki;horn;ʃax;
Judeo-Tati;horn;ʃox;
Kumzari;horn;qarn;
Luri;horn;ʔax;
Modern_Persian;horn;ʔax;
Ormuri;horn;ʃax;
Ossetic_Iron;horn;sɨ;ʃǝkʔa
Parachi;horn;ʃi;
Shughni;horn;xaʃ;
Taleshi;horn;ʔux;
Wakhi;horn;ʃəu;
Yaghnobi;horn;ʔox;
Zazaki;horn;qoʔ;
SEK ;horn;ʃax;
SK;horn;stɨrɨh;
NK;horn;qoʧ;
SWK;horn;qoʧ;
NWK;horn;ustru;
Bakhtiyari;house;hoʋne;
Balochi;house;ʧarkol;
Gilaki;house;xanə;
Judeo-Tati;house;xune;
Kumzari;house;xanaʁ;
Modern_Persian;house;ɣana;
Ormuri;house;nar;ner
Ossetic_Iron;house;xædzar;
Parachi;house;ʁus;xana
Shughni;house;ʧid;buna
Taleshi;house;kə;
Wakhi;house;ɣun;
Yaghnobi;house;kat;xona
Zazaki;house;ban;
SEK ;house;mal;xani 
SK;house;mal;xani
NK;house;mal;xani
SWK;house;mal;xani
NWK;house;mɔl;xɔni
Bakhtiyari;in;men;
Balochi;in;nianwan;lafa
Gilaki;in;dər;andərun
Judeo-Tati;in;der;
Kumzari;in;indi;
Modern_Persian;in;dar;
Ormuri;in;nɛ;
Ossetic_Iron;in;mae;aeʔ
Parachi;in;tar;
Shughni;in;pi;tar
Taleshi;in;bə;
Wakhi;in;ne;
Waziri;in;kʔe;pa kʔe
Zazaki;in;di;
SEK ;in;dɨ;(dɨ) naw .. da
SK;in;dɨ;lɨ hɨnduru
NK;in;dɨ; da
SWK;in;dɨ;hundɨr
NWK;in;dæ;hundɨri
Bakhtiyari;knee;zuni;
Balochi;knee;ʈong;
Gilaki;knee;zanu;
Judeo-Tati;knee;zani;
Kumzari;knee;rukbit;
Luri;knee;zuni;
Modern_Persian;knee;zanu;
Ormuri;knee;zanu;
Ossetic_Iron;knee;wɜrag ;
Parachi;knee;zonu;
Shughni;knee;zun;
Taleshi;knee;zʔʔ;
Yaghnobi;knee;zonk;zonu
Zazaki;knee;saqe;ʔok
SEK ;knee;ʧok;
SK;knee;kabok;
NK;knee;ʧok;
SWK;knee;ʧong;
NWK;knee;ʧok;
Bakhtiyari;know;doʔnesten;
Balochi;know;sahihbiagʔ;
Gilaki;know;dan;
Judeo-Tati;know;ʔinoxde;
Kumzari;know;dan;danid
Modern_Persian;know;danestan;
Ossetic_Iron;know;fæsmærun;zonyn
Parachi;know;xabʔar;
Shughni;know;fam;wizan
Taleshi;know;zun;
Wakhi;know;dis;
Waziri;know;xabar;molim
Yaghnobi;know;giriv;
Zazaki;know;zanajiʔ;
SEK ;know;zanin;
SK;know;zanin;
NK;know;zanin;
SWK;know;zanin;
NWK;know;zɔnin;
Bakhtiyari;laugh;handesten;
Balochi;laugh;xandagʔ;xanditʔa
Gilaki;laugh;xəndʔ;
Judeo-Tati;laugh;xendysde;
Kumzari;laugh;xanidiʔ;
Luri;laugh;xana;
Modern_Persian;laugh;xandidan;
Ormuri;laugh;xanak;
Ossetic_Iron;laugh;xudɨn;
Parachi;laugh;xan;
Shughni;laugh;ʔand;
Taleshi;laugh;xanda;
Wakhi;laugh;kund;
Waziri;laugh;xandel;
Yaghnobi;laugh;xant;
Zazaki;laugh;huwajiʃ;
SEK ;laugh;kɛnin;
SK;laugh;kɛn;
NK;laugh;kɛnin;
SWK;laugh;kɛnin;
NWK;laugh;kænin;
Bakhtiyari;leaf;par;
Balochi;leaf;tʔax;
Gilaki;leaf;bərg;
Judeo-Tati;leaf;velg;
Kumzari;leaf;warq;
Luri;leaf;barg;
Modern_Persian;leaf;barg;
Ormuri;leaf;barg;
Ossetic_Iron;leaf;sɨf;
Parachi;leaf;pon;
Shughni;leaf;barg;park
Taleshi;leaf;liv;
Wakhi;leaf;pulc;
Waziri;leaf;ponrje;
Yaghnobi;leaf;barg;
Zazaki;leaf;velg;
SEK ;leaf;pɛlɨk;bɛlg
SK;leaf;pɛl;
NK;leaf;pɛl;
SWK;leaf;pɛlʧ;
NWK;leaf;ʧɨlo;
Bakhtiyari;leg/foot;leʔ;
Balochi;leg/foot;pʔadh;
Gilaki;leg/foot;pa;
Judeo-Tati;leg/foot;poj;
Kumzari;leg/foot;pa;
Modern_Persian;leg/foot;pa;
Ossetic_Iron;leg/foot;kʔax;zaeʔ
Parachi;leg/foot;leʔ;
Shughni;leg/foot;po;
Taleshi;leg/foot;lʔʔ;
Wakhi;leg/foot;pued;leʔ
Waziri;leg/foot;pʔa;laʔra
Yaghnobi;leg/foot;poda;po
Zazaki;leg/foot;liʔ;
SEK ;leg/foot;lɨng;pe 
SK;leg/foot;lɨng;pi-lɨng 
NK;leg/foot;ʧip;lɨng
SWK;leg/foot;nɨg;
NWK;leg/foot;nɨg;
Bakhtiyari;liver;ʔijar;
Balochi;liver;ʔagʔar;
Gilaki;liver;ʔgʔr;
Judeo-Tati;liver;ʔiger;
Kumzari;liver;joʁur;
Luri;liver;ʔegar;
Modern_Persian;liver;ʔegar;
Ossetic_Iron;liver;igaer;
Parachi;liver;ʔigar;
Shughni;liver;ʔigar;ʔod
Taleshi;liver;ʤigə;
Wakhi;liver;ʔigar;
Waziri;liver;jenna;
Yaghnobi;liver;ʔupurda;ʔigar
Zazaki;liver;qesiba;
SEK ;liver;cɛrg;
SK;liver;kɛzɛb;
NK;liver;cigɛr;
SWK;liver;kɛzɛw;
NWK;liver;cigær;kɛzɛw
Bakhtiyari;long;deraz;
Balochi;long;draʒ;
Gilaki;long;dʔraz;
Judeo-Tati;long;duraz;
Kumzari;long;draz;
Modern_Persian;long;deraz;boland
Ormuri;long;droʔ;
Ossetic_Iron;long;dargʔ;
Parachi;long;biʃt;
Shughni;long;daroz;vogʔ
Taleshi;long;dɨroz;doroz
Wakhi;long;deroz;verz
Waziri;long;wiʒd;
Yaghnobi;long;van;
Zazaki;long;derg;
SEK ;long;dreʒ;
SK;long;dɨreʒ;
NK;long;dɨreʒ;
SWK;long;dɨreʒ;
NWK;long;dɨreʒ;
Bakhtiyari;louse;ʔeʔ;
Balochi;louse;bot;
Gilaki;louse;səbəʤ;
Judeo-Tati;louse;subuʤ;
Kumzari;louse;qarʔa;riʃk
Luri;louse;eʔ;
Modern_Persian;louse;ʔepeʔ;
Ormuri;louse;spoi;
Ossetic_Iron;louse;sɨst;
Parachi;louse;ispo;
Shughni;louse;sipag;murax
Taleshi;louse;ʔsbʔ;
Wakhi;louse;sis;
Waziri;louse;spaʒa;
Yaghnobi;louse;ʔipuʔ;
Zazaki;louse;eʔpiʔ;
SEK ;louse;hɨspi;
SK;louse;spɛh;
NK;louse;sɨpi;
SWK;louse;spɨʔ;
NWK;louse;ɨspi;
Bakhtiyari;meat;guʔt;
Balochi;meat;goʒd;
Gilaki;meat;guʔt;
Judeo-Tati;meat;guʔd;
Kumzari;meat;goʔt;
Luri;meat;gyʔt;
Modern_Persian;meat;guʔt;
Ormuri;meat;goka;
Ossetic_Iron;meat;fɨd;
Parachi;meat;ʔuʔ;
Shughni;meat;guxt;
Taleshi;meat;guzʔd;
Wakhi;meat;gost;
Waziri;meat;gʔoʔa;gʔeʔa
Yaghnobi;meat;jota;guʔt
Zazaki;meat;goʔt;
SEK ;meat;goʃt;
SK;meat;goʃt;
NK;meat;goʃt;
SWK;meat;goʃt;
NWK;meat;goʃt;
Bakhtiyari;mouth;dohoʔn;
Balochi;mouth;daf;
Gilaki;mouth;dʔhan;
Judeo-Tati;mouth;laʔa;
Kumzari;mouth;kar;
Luri;mouth;kap;daʔan
Modern_Persian;mouth;dahan;
Ormuri;mouth;don;pʔʔz
Ossetic_Iron;mouth;kom;dzyx
Parachi;mouth;ʃoɳɖ;
Shughni;mouth;ʔov;
Taleshi;mouth;gəv;
Wakhi;mouth;gʔus;
Waziri;mouth;xwula;
Yaghnobi;mouth;rax;
Zazaki;mouth;fek;
SEK ;mouth;dɛw;
SK;mouth;dɛv;
NK;mouth;dɛv;
SWK;mouth;dɛv;
NWK;mouth;dɔv;
Balochi;name;nam;
Gilaki;name;nam;ism
Judeo-Tati;name;num;
Kumzari;name;nam;
Ormuri;name;nom;pazak
Ossetic_Iron;name;nom;
Parachi;name;nɒm ;
Shughni;name;num;
Taleshi;name;nom;
Wakhi;name;nuŋ;
Waziri;name;num;
Yaghnobi;name;nom;
Zazaki;name;name;
SEK ;name;naw;
SK;name;nav;
NK;name;nav;
SWK;name;nav;
NWK;name;nɔv;
Bakhtiyari;navel;naf;
Balochi;navel;don;
Judeo-Tati;navel;nof;
Kumzari;navel;nawaʁ;
Modern_Persian;navel;naf;nabi
Ormuri;navel;nefak;
Ossetic_Iron;navel;bik;
Parachi;navel;nof;
Shughni;navel;nof;
Taleshi;navel;nofə;
Wakhi;navel;nof;
Yaghnobi;navel;nofa;
SEK ;navel;nawɨk;
SK;navel;navɨk;
NK;navel;navɨk;
SWK;navel;nevk;
NWK;navel;nɔvɨk;
Bakhtiyari;neck;garden;
Balochi;neck;gwar;
Gilaki;neck;guli;gʔrdʔn
Judeo-Tati;neck;gerden;
Kumzari;neck;gurdin;
Luri;neck;gardy;
Modern_Persian;neck;gardan;
Ormuri;neck;gardan;ɣara
Ossetic_Iron;neck;bɜrzɜj;
Parachi;neck;maɳɖʔa ;
Shughni;neck;gardan;mak
Taleshi;neck;gardan;
Wakhi;neck;gerdon;maejuk
Yaghnobi;neck;kʔama;
Zazaki;neck;mil;
SEK ;neck;sukur;
SK;neck;sukur;
NK;neck;hɨstu;
SWK;neck;hɨstɨ;
NWK;neck;ustɨ;
Bakhtiyari;new;nu;
Balochi;new;nox;
Gilaki;new;tazə;
Judeo-Tati;new;toze;
Kumzari;new;no;
Luri;new;now;taza
Modern_Persian;new;taze;
Ormuri;new;nuw;
Ossetic_Iron;new;næwæg;
Parachi;new;no;
Shughni;new;naw;tirak
Taleshi;new;toʒə;
Wakhi;new;toza;segʔd
Waziri;new;newai;
Yaghnobi;new;nava;
Zazaki;new;newe;
SEK ;new;ny;
SK;new;nu;
NK;new;tɛzɛ;
SWK;new;no;
NWK;new;no;
Bakhtiyari;night;ʔaʔ;
Balochi;night;ʔaf;
Gilaki;night;ʔb;
Judeo-Tati;night;ʔev;
Kumzari;night;ʔo;
Luri;night;ʔow;
Modern_Persian;night;ʔab;
Ormuri;night;ʃo;
Ossetic_Iron;night;æxtsæv;
Parachi;night;xawʔɒn;weʔɒr
Shughni;night;xab;
Taleshi;night;ʔav;
Wakhi;night;nugʔd;
Waziri;night;ʔpa;
Yaghnobi;night;xʔap;ʔab
Zazaki;night;ʔew;pesewe
SEK ;night;ʃɛw;
SK;night;ʃɛv;
NK;night;ʃɛv;
SWK;night;ɹæv;
NWK;night;ʃæv;
Bakhtiyari;nose;noft;
Balochi;nose;pʔonz;
Gilaki;nose;dəmaɣ;
Judeo-Tati;nose;vini;
Kumzari;nose;noxaret;
Luri;nose;domag;
Modern_Persian;nose;damagʔ;
Ormuri;nose;nini;
Ossetic_Iron;nose;fɨndz;
Parachi;nose;damoʔ;neʔt
Shughni;nose;neʔ;
Taleshi;nose;vɨni;
Wakhi;nose;mis;
Waziri;nose;peza;warbiz
Yaghnobi;nose;naʔs;dimog
Zazaki;nose;pirnike;
SEK ;nose;dɨfɨn;
SK;nose;behvɨl;
NK;nose;poz;
SWK;nose;poz;
NWK;nose;poz;
Bakhtiyari;not;na;
Balochi;not;na;
Gilaki;not;ne;
Judeo-Tati;not;neki;
Kumzari;not;na;
Modern_Persian;not;na;
Ormuri;not;nak;
Ossetic_Iron;not;næ;naetae
Parachi;not;na;
Shughni;not;na;
Taleshi;not;ni;ne
Wakhi;not;ne;
Waziri;not;na;
Yaghnobi;not;na;
Zazaki;not;ne;ʧɨʔni
SEK ;not;nɛ;
SK;not;na;
NK;not;na;
SWK;not;na;
NWK;not;nɔ;
Bakhtiyari;old;kohne;qadimi
Balochi;old;pʔir;
Gilaki;old;pir;
Judeo-Tati;old;pir;ovil
Kumzari;old;kaʔnaʁ;gap
Luri;old;pir;
Modern_Persian;old;pir;
Ormuri;old;zol;
Ossetic_Iron;old;zærond;
Parachi;old;kona;katʔto
Shughni;old;kina;pir
Taleshi;old;kanə;pi
Waziri;old;zor;
Yaghnobi;old;kuhna;qadim
Zazaki;old;pilʔixtijar;
SEK ;old;kɛwn;
SK;old;kɛvɨn;
NK;old;kɛm;
SWK;old;kævɨn;
NWK;old;kævɨn;
Bakhtiyari;one;jak;
Balochi;one;jak;ja
Gilaki;one;jək;
Judeo-Tati;one;jek;jeki
Kumzari;one;jek;
Luri;one;jak;
Modern_Persian;one;jek;hargiz
Ormuri;one;ʔe;
Ossetic_Iron;one;iu;
Parachi;one;ʔu;
Shughni;one;jak;jiw
Taleshi;one;gɨləʒ;
Wakhi;one;ji;jiu
Waziri;one;jo;
Yaghnobi;one;jak;
Zazaki;one;ʒew;
SEK ;one;jek;
SK;one;jɛk;
NK;one;jɛk;
SWK;one;jek;
NWK;one;ek;
Bakhtiyari;rain;baroʔn;
Balochi;rain;gwaragʔ;gwarta
Gilaki;rain;barʔ;
Judeo-Tati;rain;voruʔ;
Kumzari;rain;baram;
Luri;rain;baru;
Modern_Persian;rain;baridan;
Ormuri;rain;bɒrɨn;ɣor
Ossetic_Iron;rain;uarɨn;kʔaevda
Parachi;rain;auʔar;waʔ
Shughni;rain;borun;
Taleshi;rain;kuluk;
Waziri;rain;waredel;
Yaghnobi;rain;borʔn;
Zazaki;rain;varan;yaʔer
SEK ;rain;baran;
SK;rain;baran;
NK;rain;ʃɨli;
SWK;rain;baran;
NWK;rain;bɔrɔn;
Bakhtiyari;red;sohr;
Balochi;red;suhr;
Gilaki;red;sorx;
Judeo-Tati;red;qirmizni;
Kumzari;red;sirx;
Luri;red;germez;
Modern_Persian;red;sorx;
Ormuri;red;ʃuʃ;
Ossetic_Iron;red;sɨrx;
Parachi;red;surxo;surku
Shughni;red;lola;ruʔt
Taleshi;red;sʔ;
Wakhi;red;sekr;
Waziri;red;sir;
Yaghnobi;red;surx;kimir
Zazaki;red;sur;
SEK ;red;sor;
SK;red;sor;
NK;red;sor;
SWK;red;sɵr;
NWK;red;sur;
Bakhtiyari;root;riʔe;
Balochi;root;par;
Gilaki;root;bex;riʃə
Judeo-Tati;root;rag;
Kumzari;root;irq;
Luri;root;riʔa;
Modern_Persian;root;riʔe;
Ormuri;root;bex;
Ossetic_Iron;root;widag;
Parachi;root;bix;kordi
Shughni;root;bex;wex
Taleshi;root;riʔ;
Wakhi;root;wiux;
Waziri;root;bex;wex
Yaghnobi;root;riʔa;
Zazaki;root;riʔe;
SEK ;root;rɨh;
SK;root;ɹa;
NK;root;kok;
SWK;root;kok;
NWK;root;kok;
Bakhtiyari;rope;tanaf;ʔoreys
Balochi;rope;rez;
Gilaki;rope;risman;lafənd
Judeo-Tati;rope;rase;
Kumzari;rope;baʔn;
Luri;rope;band;resmu
Modern_Persian;rope;tanab;
Ormuri;rope;beʃ;
Ossetic_Iron;rope;baendaen;
Parachi;rope;boʔ;
Shughni;rope;band;sarband
Taleshi;rope;lofʔnd;
Wakhi;rope;tunov;derowi
Yaghnobi;rope;wʔta;
Zazaki;rope;resen;
SEK ;rope;bɛndɨk;kɨndɨr
SK;rope;ṭa;weris
NK;rope;bɛnd;
SWK;rope;bɛn;kendɨr
NWK;rope;bæn;kɨndɨr
Bakhtiyari;run;daʋniden;
Balochi;run;taʧ;tag
Gilaki;run;dobəstən;dovəstən
Judeo-Tati;run;virixde;vidovusde
Kumzari;run;burwa;
Modern_Persian;run;dawidan;
Ormuri;run;daŋok;
Ossetic_Iron;run;zhorɨn;lidzɨn
Parachi;run;dow;hala kan
Shughni;run;ʒoz;ʒext
Taleshi;run;tɨlə;vite
Wakhi;run;gafs;
Yaghnobi;run;dau;
Zazaki;run;veʃtiʃ;vazdano
SEK ;run;bɛẓin;
SK;run;baz;
NK;run;ɹɛvin;
SWK;run;ɹɛvin;
NWK;run;bɔz;
Bakhtiyari;salt;nemek;
Balochi;salt;whadh;wahadh
Gilaki;salt;ʔur;
Judeo-Tati;salt;mynyk;
Kumzari;salt;xuwah;
Luri;salt;namak;
Modern_Persian;salt;namak;
Ormuri;salt;nimek;
Ossetic_Iron;salt;tsæx;
Parachi;salt;namo;
Shughni;salt;namak;
Taleshi;salt;niʔmek;
Wakhi;salt;nimuk;
Waziri;salt;molga;
Yaghnobi;salt;namak;
Zazaki;salt;sol;
SEK ;salt;xe;
SK;salt;xwe;
NK;salt;xwe;
SWK;salt;xwe;
NWK;salt;xwe;
Bakhtiyari;sand;mase;
Balochi;sand;rex;
Gilaki;sand;furʔ;
Judeo-Tati;sand;qum;
Kumzari;sand;diri;
Luri;sand;ʔen;masa
Modern_Persian;sand;ʔen;
Ormuri;sand;reg;
Ossetic_Iron;sand;zmis;
Parachi;sand;seʔa;
Shughni;sand;ʔoʔ;reg
Taleshi;sand;ɣum;huʃ
Wakhi;sand;luworc;
Waziri;sand;ʔegga;
Yaghnobi;sand;reg;
Zazaki;sand;qum;
SEK ;sand;xiz;
SK;sand;qum;
NK;sand;qum;
SWK;sand;qum;
NWK;sand;qum;
Bakhtiyari;say;goden;
Balochi;say;guʔagʔ;gusta
Gilaki;say;guftən;
Judeo-Tati;say;gufdire;
Kumzari;say;gaft;
Luri;say;gota;
Modern_Persian;say;goftan;
Ormuri;say;ʔuʔ;
Ossetic_Iron;say;zæhɨn;
Parachi;say;ʤar;
Shughni;say;gap;
Taleshi;say;vote;əvot
Wakhi;say;xan;
Waziri;say;wejel;
Yaghnobi;say;wov;
Zazaki;say;vatiʔ;
SEK ;say;gotɨn;
SK;say;gotɨn;
NK;say;gotɨn;
SWK;say;gotɨn;
NWK;say;gotɨn;
Bakhtiyari;see;diden;
Balochi;see;ditʔa;gindagʔ
Gilaki;see;deen;fanderəstən
Judeo-Tati;see;vinire;
Kumzari;see;meʃ;
Modern_Persian;see;didan;
Ormuri;see;de;
Ossetic_Iron;see;uɨnɨn;
Parachi;see;boʧ;dor
Shughni;see;win;
Taleshi;see;vinde;
Wakhi;see;win;
Waziri;see;katel;lidel
Yaghnobi;see;wen;
Zazaki;see;ditiʔ;
SEK ;see;ditɨn;
SK;see;ditɨn;
NK;see;ditɨn;din
SWK;see;din;
NWK;see;din;
Bakhtiyari;shade/shadow;sa;
Balochi;shade/shadow;saxeg;sjaxeg
Gilaki;shade/shadow;sajə;
Judeo-Tati;shade/shadow;soje;
Kumzari;shade/shadow;saja;
Modern_Persian;shade/shadow;saja;
Ormuri;shade/shadow;sjaka;
Ossetic_Iron;shade/shadow;auwon;ændærg
Parachi;shade/shadow;seʁ;
Shughni;shade/shadow;soja;
Taleshi;shade/shadow;sognə;sovonə
Wakhi;shade/shadow;soja;
Yaghnobi;shade/shadow;soja;sijoka
Zazaki;shade/shadow;sersej;
SEK ;shade/shadow;sibɛr;
SK;shade/shadow;sɨh;
NK;shade/shadow;si;
SWK;shade/shadow;si;
NWK;shade/shadow;si;
Bakhtiyari;skin;pust;mart
Balochi;skin;pʔost;
Gilaki;skin;ʧərm;pust
Judeo-Tati;skin;pusd;
Kumzari;skin;post;
Luri;skin;pys;
Modern_Persian;skin;pust;
Ormuri;skin;post;
Ossetic_Iron;skin;carm;
Parachi;skin;pust;
Shughni;skin;pust;
Taleshi;skin;pystin;
Wakhi;skin;pist;
Waziri;skin;tsarman;
Yaghnobi;skin;pust;
Zazaki;skin;poste;
SEK ;skin;ʧɛrm;
SK;skin;ʧɛrm;
NK;skin;ʧɛrm;
SWK;skin;ʧɛrm;
NWK;skin;ʧɛrm;post
Bakhtiyari;small;kocʔir;
Balochi;small;kik;
Gilaki;small;kucʔk;
Judeo-Tati;small;ʧykle;
Kumzari;small;ʔik;
Luri;small;kaʔdy;
Modern_Persian;small;kuʔek;
Ormuri;small;zari;
Ossetic_Iron;small;ʧɨsɨl;gyksyl
Parachi;small;ʔimo;
Shughni;small;zalik;zul
Taleshi;small;gada;
Wakhi;small;zuq;zuqiq
Waziri;small;kam;kamkai
Yaghnobi;small;pula;maʔʔdaak
Zazaki;small;werdi;qiʔ
SEK ;small;kɨʧkɛ;
SK;small;pɨʧuk;
NK;small;pɨʧuk;
SWK;small;ʧuʧɨk;ʧuk
NWK;small;ʧuk;
Bakhtiyari;smoke;di;
Balochi;smoke;duhon;
Gilaki;smoke;dudʔmana;
Judeo-Tati;smoke;dure;
Kumzari;smoke;dur;
Luri;smoke;dyd;
Modern_Persian;smoke;dud;
Ormuri;smoke;dud;
Ossetic_Iron;smoke;fæzdæg;xʔuaecae
Parachi;smoke;dhi;
Shughni;smoke;ʔud;
Taleshi;smoke;ʔu;
Wakhi;smoke;dit;
Yaghnobi;smoke;paʔst;dud
Zazaki;smoke;dun;
SEK ;smoke;dukɛl;
SK;smoke;duman;
NK;smoke;du;
SWK;smoke;du;
NWK;smoke;tu;tuman
Bakhtiyari;soil;hak;
Balochi;soil;xak;sorag
Gilaki;soil;zəminə;
Judeo-Tati;soil;zimi;xok
Kumzari;soil;pʧal;
Modern_Persian;soil;ɣak;
Ossetic_Iron;soil;zæɣ;
Parachi;soil;ken;
Shughni;soil;ʧidow;
Taleshi;soil;zəmin;
Yaghnobi;soil;zoj;
Zazaki;soil;ʕerd;
SEK ;soil;ax;
SK;soil;ax;
NK;soil;xwɛli;
SWK;soil;ax;
NWK;soil;ɔx;
Bakhtiyari;stand;ʔastaden;
Balochi;stand;oʔtagʔ;oʔtatʔa
Gilaki;stand;es;
Judeo-Tati;stand;vetovusde;
Kumzari;stand;qawumah;saxo
Luri;stand;vaʔseda;va rosseda
Modern_Persian;stand;istadan;
Ormuri;stand;darok;aʃtvek
Ossetic_Iron;stand;læuuɨn;
Parachi;stand;papʔɒ;
Shughni;stand;wirafʔ;
Taleshi;stand;mande;
Waziri;stand;daredel;
Yaghnobi;stand;uʔt;
Zazaki;stand;mendis;vinderdis
SEK ;stand;ɹawɛstan;
SK;stand;sɛkɨnandɨn;
NK;stand;sɨkɨnandɨn;
SWK;stand;sɛkɨnin;
NWK;stand;sækɨnin;
Bakhtiyari;star;astare;
Balochi;star;istar;
Gilaki;star;sʔtar;
Judeo-Tati;star;asdara;astare
Kumzari;star;starg;
Luri;star;setara;
Modern_Persian;star;setare;
Ormuri;star;stirak;
Ossetic_Iron;star;scalɨ;
Parachi;star;esteʔ;
Shughni;star;xiterʔ;
Taleshi;star;astovə;
Wakhi;star;stor;
Waziri;star;storai;
Yaghnobi;star;bildiʔa;sitora
Zazaki;star;estare;
SEK ;star;ster;
SK;star;steɹɨk;
NK;star;hɨsterɨk;
SWK;star;hestɨrk;
NWK;star;ɨstɛwrɨk;
Bakhtiyari;stone;bard;kocʔok
Balochi;stone;xoh;
Gilaki;stone;səʔ;
Judeo-Tati;stone;senq;
Kumzari;stone;raʔg;
Luri;stone;saʔ;kolom
Modern_Persian;stone;saʔ;
Ormuri;stone;gap;
Ossetic_Iron;stone;dur;
Parachi;stone;gir;
Shughni;stone;saʔ;ʔir
Taleshi;stone;sʔg;
Wakhi;stone;gʔar;
Waziri;stone;konrai;tiʒa
Yaghnobi;stone;saʔk;
Zazaki;stone;ʔi;
SEK ;stone;bɛr;
SK;stone;kɛvɨr;
NK;stone;kɛvɨr;
SWK;stone;kævɨr;
NWK;stone;kævɨr;
Bakhtiyari;suck;mekeniden;
Balochi;suck;miʔagʔ;mixta
Gilaki;suck;fuduʃtən;məkəstən
Judeo-Tati;suck;keʃire;nene xurde
Kumzari;suck;massa;
Modern_Persian;suck;mekidan;
Ossetic_Iron;suck;dæjɨn;cʔiryn
Shughni;suck;sipaf;
Taleshi;suck;die;lɨʃte
Wakhi;suck;sup;
Waziri;suck;ravdel;
Yaghnobi;suck;zimak;diy
Zazaki;suck;antiʃ;banʤi
SEK ;suck;metɨn;
SK;suck;mɨʒandɨn;
NK;suck;mɨʒandɨn;
SWK;suck;mɨʒin;mɨʒandɨn
NWK;suck;mɨtin;mɨʒin
Bakhtiyari;sweet;ʃirin;
Balochi;sweet;ʃiren;ʃirken
Gilaki;sweet;ʃirin;
Judeo-Tati;sweet;ʃirin;
Kumzari;sweet;ʃirin;
Modern_Persian;sweet;ʃirin;
Ormuri;sweet;xwaʃ;
Ossetic_Iron;sweet;adʤɨn;
Parachi;sweet;ʃirɨn;xiro
Shughni;sweet;ʃirin;xiʒ
Taleshi;sweet;ʃin;
Wakhi;sweet;ɣuʒg;
Yaghnobi;sweet;ʃirin;
Zazaki;sweet;ʃirin;
SEK ;sweet;ʃɨrin;
SK;sweet;ʃirin;
NK;sweet;ʃirin;
SWK;sweet;ʃirɨn;
NWK;sweet;ʃirin;
Bakhtiyari;tail;din;
Balochi;tail;dumb;
Gilaki;tail;dum;
Judeo-Tati;tail;dym;
Kumzari;tail;dum;
Luri;tail;dom;
Modern_Persian;tail;dom;
Ormuri;tail;dumb;
Ossetic_Iron;tail;dɨmæg;
Parachi;tail;doʔund;
Shughni;tail;dum;
Taleshi;tail;dum;
Wakhi;tail;kicikam;
Waziri;tail;lakai;
Yaghnobi;tail;dym;dumba
Zazaki;tail;poʔ;
SEK ;tail;dylɨk;
SK;tail;duv;
NK;tail;boʧɨk;del
SWK;tail;boʧ;du
NWK;tail;doʧɨk;
Bakhtiyari;take;gerejden;ʋordaʃten
Balochi;take;zurag;barag
Gilaki;take;giftən;usadən
Judeo-Tati;take;vegirde;vegyrde
Kumzari;take;gir;
Modern_Persian;take;giriftan;
Ormuri;take;wur;
Ossetic_Iron;take;isɨn;widzɨn
Shughni;take;zez;pard͡ʒiv
Taleshi;take;pegəte;gət
Wakhi;take;durz;
Yaghnobi;take;barde;nos
Zazaki;take;berdiʃ;
SEK ;take;bɨrɨn;
SK;take;bɨrɨn;
NK;take;bɨrɨn;
SWK;take;bɨrɨn;
NWK;take;bɨrɨn;
Bakhtiyari;thick;koloft;cʔaq
Balochi;thick;tʔular;
Gilaki;thick;kuluft;
Judeo-Tati;thick;qolind;
Kumzari;thick;saχt;
Luri;thick;koloft;got
Modern_Persian;thick;koloft;
Ossetic_Iron;thick;stavd;
Parachi;thick;estoro;
Shughni;thick;farbijaki;
Taleshi;thick;koloft;
Wakhi;thick;baʔ;
Waziri;thick;gʔwut;
Yaghnobi;thick;gafs;farbi
Zazaki;thick;qalin;
SEK ;thick;styr;
SK;thick;qalɨn;stur
NK;thick;qałɨnd;
SWK;thick;qalɨng;
NWK;thick;qalɨng;
Bakhtiyari;thigh;roʋn;
Balochi;thigh;ran;ripag
Gilaki;thigh;kəpəl;ran
Judeo-Tati;thigh;kefel;bud
Kumzari;thigh;binʤ;
Modern_Persian;thigh;ran;
Ormuri;thigh;ron;langɛi
Ossetic_Iron;thigh;ahd;sin
Parachi;thigh;ron;
Shughni;thigh;biʃtun;bixtun
Taleshi;thigh;ʃevək;
Wakhi;thigh;ron;
Yaghnobi;thigh;ron;
Zazaki;thigh;gohm;
SEK ;thigh;qalʧɛ;
SK;thigh;kɛlɛf;
NK;thigh;het;
SWK;thigh;qałʧɛ;
NWK;thigh;qalʧɛ;
Bakhtiyari;this;i;
Balochi;this;iʃ;
Gilaki;this;ha;an
Judeo-Tati;this;i;
Kumzari;this;ijah;
Luri;this;ʔde; ʔe
Modern_Persian;this;in;
Ormuri;this;aɸo;
Ossetic_Iron;this;u;asǝ
Parachi;this;e;
Shughni;this;jam;mam
Taleshi;this;ɨm;
Wakhi;this;jem;haeiem
Waziri;this;dai;dagʔa
Yaghnobi;this;iʔ;
Zazaki;this;na;nɛ
SEK ;this;ɛw;
SK;this;ɛv;ɛw
NK;this;ɛv;ɛw
SWK;this;va;hɛw
