DOCULECT;CONCEPT;IPA;VARIANTS
SK;ash;xwɛli;
NK;ash;xwɛli;
SWK;ash;arɨ;
NWK;ash;xæli;
Bakhtiyari;back;gorde;
Balochi;back;pʔuʔt;
Gilaki;back;pʔs;
Judeo-Tati;back;pesovo;
Kumzari;back;kamar;
Luri;back;kamar;gorda
Modern_Persian;back;poʔt;
Ormuri;back;pets;puʃt
Ossetic_Iron;back;fæsontæ; cʔyldym
Parachi;back;peʃput;
Shughni;back;dam;
Taleshi;back;pas;
Wakhi;back;dam;urqa
Waziri;back;ʔamzai;
Yaghnobi;back;arka;puʔt
Zazaki;back;paʔti;
SEK ;back;pɨʃt;
SK;back;pɨʃt;
NK;back;pɨʃt;
SWK;back;pɨʃt;
NWK;back;pɔʃ;
Bakhtiyari;big;gap;
Balochi;big;mazaan;maz en
Gilaki;big;əzim;buzurg
Judeo-Tati;big;dyryjd;
Kumzari;big;gap;
Luri;big;gap;
Modern_Persian;big;bozorg;
Ormuri;big;stur;ustur
Ossetic_Iron;big;stɨr;
Parachi;big;gand;ferimɨn
Shughni;big;ʔulla;xədir
Taleshi;big;ʒol;nəhəng
Wakhi;big;lup;
Waziri;big;ster;
Yaghnobi;big;katta;
Zazaki;big;gird;xiʔn
SEK ;big;mɛzɨn;
SK;big;mɛzɨn;
NK;big;mɛzɨn;
SWK;big;mɛzɨn;
NWK;big;gɨr;
Bakhtiyari;bird;balende;
Balochi;bird;murgʔ;
Gilaki;bird;murʔ;
Judeo-Tati;bird;parande;
Kumzari;bird;ter;
Luri;bird;paranda;
Modern_Persian;bird;morgʔ;parande
Ormuri;bird;bubititi;
Ossetic_Iron;bird;margʔ;
Parachi;bird;bɨdɨr;
Shughni;bird;paranda;
Taleshi;bird;kiʔa;
Wakhi;bird;parinda;bakar
Waziri;bird;margʔai;
Yaghnobi;bird;paranda;ʔondor
Zazaki;bird;miriʔik;teyr
SEK ;bird;cycɨk;
SK;bird;ʧuk;
NK;bird;ʧuʧɨk;
SWK;bird;ʧuk;
NWK;bird;ʧɨʧuk;
Bakhtiyari;bite;gam;
Balochi;bite;waragʔ;wartʔa
Gilaki;bite;gaz;gaz zeen
Judeo-Tati;bite;gezire;
Kumzari;bite;xaʔadiʔ;
Luri;bite;kap;gereta
Modern_Persian;bite;dandan;
Ossetic_Iron;bite;xætsɨn;
Parachi;bite;gas;
Shughni;bite;pirend;
Taleshi;bite;vijarde;
Wakhi;bite;denduk;gup di
Waziri;bite;ʔiʔel;
Yaghnobi;bite;kan;xiʔoy
Zazaki;bite;perajiʃ;
SEK ;bite;lɛq;
SK;bite;gɛz;
NK;bite;kɨt;gɛz kɨrɨn
SWK;bite;gæz;
NWK;bite;gæz;
Bakhtiyari;bitter;tahl;
Balochi;bitter;taxl;
Gilaki;bitter;təlx;
Judeo-Tati;bitter;texl;
Kumzari;bitter;tahl;
Modern_Persian;bitter;talɣ;
Ormuri;bitter;teʃ;
Ossetic_Iron;bitter;mast;karz
Parachi;bitter;tɨzi;
Shughni;bitter;tsax;tsix
Taleshi;bitter;təlx;tel 
Wakhi;bitter;talx;
Yaghnobi;bitter;talx;
Zazaki;bitter;taʕl;
SEK ;bitter;tiʒ;
SK;bitter;tuʒ;
NK;bitter;tuʒ;
SWK;bitter;tuʒ;
NWK;bitter;tuʒ;
Bakhtiyari;black;ʔah;
Balochi;black;sijah;
Gilaki;black;sija;
Judeo-Tati;black;sijeh;
Kumzari;black;sijeh;
Luri;black;meʔki;
Modern_Persian;black;siah;
Ormuri;black;ɣras;
Ossetic_Iron;black;saw;
Parachi;black;paddo;
Shughni;black;tor;siyo
Taleshi;black;sio;
Wakhi;black;su;sio
Waziri;black;tor;
Yaghnobi;black;ʔow;sijoh
Zazaki;black;sij;sya
SEK ;black;ɹɛʃ;
SK;black;ɹɛʃ;
NK;black;ɹɛʃ;
SWK;black;ɹɛʃ;
NWK;black;ɹæʃ;
Bakhtiyari;blood;hin;
Balochi;blood;hon;
Gilaki;blood;xun;
Judeo-Tati;blood;xuni;
Kumzari;blood;xuwaʔm;
Luri;blood;xyn;
Modern_Persian;blood;xun;
Ormuri;blood;in;ʔun
Ossetic_Iron;blood;tug;
Parachi;blood;hin;
Shughni;blood;wixin;xun
Taleshi;blood;xun;
Wakhi;blood;xun;wusen
Waziri;blood;wina;
Yaghnobi;blood;waxin;xun
Zazaki;blood;guni;
SEK ;blood;xin;
SK;blood;xwin;
NK;blood;xun;
SWK;blood;xun;
NWK;blood;xyn;
Bakhtiyari;blow;bad;
Balochi;blow;kaʔagʔ;xaʔta
Gilaki;blow;dəməstən;vəsen
Judeo-Tati;blow;nefes;
Kumzari;blow;uff;
Luri;blow;bad;
Modern_Persian;blow;vazidan;
Ossetic_Iron;blow;dɨmɨn;
Parachi;blow;pxi;
Shughni;blow;puf;
